Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
7047183,4735621,44006.0,916.0,44922.0,0.0014116764068603516
7046893,4763965,32349.0,671.0,33020.0,0.0014045238494873047
7048145,4742523,41992.0,855.0,42847.0,0.0014286041259765625
7048369,4744098,24292.0,610.0,24902.0,0.0014641284942626953
7048240,4711745,47790.0,977.0,48767.0,0.0014176368713378906
7049645,5000089,25574.0,488.0,26062.0,0.001371145248413086
7050128,4839927,39428.0,671.0,40099.0,0.001360177993774414
7050030,4760048,22950.0,367.0,23317.0,0.0014071464538574219
7051588,4722034,46264.0,793.0,47057.0,0.0013928413391113281
7052227,4731684,25146.0,427.0,25573.0,0.0013720989227294922
7052074,4739266,20081.0,305.0,20386.0,0.0013713836669921875
7052448,4738787,26673.0,427.0,27100.0,0.0013763904571533203
7052960,4733545,24658.0,427.0,25085.0,0.001397848129272461
7052090,4722412,44128.0,733.0,44861.0,0.0013918876647949219
7053433,4739885,23621.0,305.0,23926.0,0.0013606548309326172
7053682,4716473,51574.0,1098.0,52672.0,0.0014507770538330078
7053441,4708916,30151.0,489.0,30640.0,0.0014276504516601562
7054693,4740336,53162.0,915.0,54077.0,0.0014133453369140625
7055077,4872333,67688.0,2014.0,69702.0,0.0015304088592529297
7054272,5697258,75561.0,4334.0,79895.0,0.001975536346435547
7055965,7603830,83069.0,5310.0,88379.0,0.0023047924041748047
7056740,5857163,73852.0,3662.0,77514.0,0.0019164085388183594
7056439,6345901,73059.0,4028.0,77087.0,0.002216339111328125
7057963,5966996,39673.0,3601.0,43274.0,0.0019116401672363281
7058325,6265108,76904.0,4578.0,81482.0,0.002307891845703125
7058589,7370378,71472.0,3845.0,75317.0,0.0019502639770507812
7059928,6237155,72021.0,4761.0,76782.0,0.0023009777069091797
7059283,7514228,68115.0,3601.0,71716.0,0.001949310302734375
