index,epc,cpu energy,dram energy,total energy,total time
6257,1.2531980276107788,49866.0,10254.0,60120.0,0.005995273590087891
6258,1.4286860227584839,38147.0,8667.0,46814.0,0.005272865295410156
6259,1.2544231414794922,56213.0,12756.0,68969.0,0.005980014801025391
6260,1.4609988927841187,44860.0,9277.0,54137.0,0.0051958560943603516
6261,1.2297625541687012,61889.0,14770.0,76659.0,0.00610041618347168
6262,1.4023135900497437,53345.0,7812.0,61157.0,0.0053942203521728516
6263,1.3899519443511963,51453.0,8301.0,59754.0,0.005424022674560547
6264,1.1249359846115112,67566.0,14221.0,81787.0,0.006714820861816406
6265,1.015377163887024,65857.0,10498.0,76355.0,0.007506847381591797
6266,0.888566792011261,94299.0,17700.0,111999.0,0.008403539657592773
6267,1.0533498525619507,162658.0,18188.0,180846.0,0.0071582794189453125
6268,0.8324040174484253,177795.0,19715.0,197510.0,0.008603096008300781
6269,1.1409083604812622,128967.0,13244.0,142211.0,0.006754159927368164
6270,1.0581245422363281,126953.0,14892.0,141845.0,0.007335662841796875
6271,1.1655892133712769,93750.0,11352.0,105102.0,0.006506919860839844
6272,1.0668193101882935,73059.0,14343.0,87402.0,0.006821632385253906
6273,1.395616054534912,57190.0,8789.0,65979.0,0.005465269088745117
6274,1.0598140954971313,76659.0,14588.0,91247.0,0.006831169128417969
6275,1.3212789297103882,239623.0,50293.0,289916.0,0.033577919006347656
6276,1.4338955879211426,34362.0,5005.0,39367.0,0.005279541015625
6277,1.2875419855117798,64026.0,14770.0,78796.0,0.005909919738769531
6278,1.3593374490737915,49683.0,7812.0,57495.0,0.005576372146606445
6279,1.3559516668319702,48157.0,9583.0,57740.0,0.005541086196899414
6280,1.3177595138549805,60852.0,8301.0,69153.0,0.005743980407714844
6281,1.392673134803772,48034.0,7447.0,55481.0,0.005408525466918945
6282,1.2286044359207153,73547.0,16784.0,90331.0,0.006108283996582031
6283,1.296769142150879,64453.0,9033.0,73486.0,0.005903005599975586
6284,0.9509002566337585,204895.0,23438.0,228333.0,0.008299589157104492
6285,0.8233455419540405,199645.0,26733.0,226378.0,0.009083986282348633
6286,1.3605782985687256,106201.0,10437.0,116638.0,0.005728960037231445
6287,1.155861496925354,119262.0,13550.0,132812.0,0.00675201416015625
6288,1.3873109817504883,67688.0,6775.0,74463.0,0.005492687225341797
6289,1.1225812435150146,77636.0,13550.0,91186.0,0.006712436676025391
6290,1.1570225954055786,74951.0,14160.0,89111.0,0.00654292106628418
6291,1.2634572982788086,54627.0,8605.0,63232.0,0.006074666976928711
6292,1.388403296470642,56335.0,12146.0,68481.0,0.005446672439575195
6293,1.3517751693725586,39551.0,8972.0,48523.0,0.0055196285247802734
6294,1.406698226928711,48706.0,11413.0,60119.0,0.005394458770751953
6295,1.3342039585113525,52795.0,11230.0,64025.0,0.00569605827331543
6296,1.3988910913467407,46448.0,9277.0,55725.0,0.005398750305175781
6297,1.2712587118148804,53405.0,11658.0,65063.0,0.0059168338775634766
6298,1.3914443254470825,43701.0,10193.0,53894.0,0.005457162857055664
6299,1.1384496688842773,75500.0,15381.0,90881.0,0.006595134735107422
6300,1.180104374885559,60791.0,9827.0,70618.0,0.0064852237701416016
6301,1.314595341682434,64636.0,9034.0,73670.0,0.005707740783691406
6302,1.2750755548477173,67260.0,9522.0,76782.0,0.006002902984619141
