Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
10456685,11071886,70679.0,3967.0,74646.0,0.0023124217987060547
10457428,8470370,99365.0,5920.0,105285.0,0.0025434494018554688
10458250,9559387,91369.0,4761.0,96130.0,0.0024094581604003906
10458343,11017465,55908.0,3296.0,59204.0,0.002190828323364258
10459435,9100055,83190.0,4822.0,88012.0,0.002540111541748047
10458718,9549624,118530.0,7629.0,126159.0,0.0028519630432128906
10459317,11177001,99426.0,5615.0,105041.0,0.0022873878479003906
10461021,8549082,83802.0,5005.0,88807.0,0.002590179443359375
10462655,9499129,109130.0,5737.0,114867.0,0.002481698989868164
10461351,10800143,74585.0,3968.0,78553.0,0.0022776126861572266
10462661,9255698,126159.0,6286.0,132445.0,0.002633333206176758
10463511,9120087,97168.0,5371.0,102539.0,0.002392292022705078
10463500,10765219,108764.0,7080.0,115844.0,0.0028221607208251953
10434661,9001461,114075.0,6165.0,120240.0,0.0027458667755126953
10436717,8634140,60058.0,3235.0,63293.0,0.002165079116821289
10435865,9985502,122803.0,6347.0,129150.0,0.0029451847076416016
10436964,8667325,116821.0,6165.0,122986.0,0.0028505325317382812
10464898,9017538,59936.0,3479.0,63415.0,0.0023648738861083984
10464831,10033436,120789.0,6775.0,127564.0,0.003007650375366211
10465555,8961950,126281.0,6104.0,132385.0,0.0027980804443359375
10466602,7927031,73364.0,3174.0,76538.0,0.002121448516845703
10464668,7358220,117309.0,6286.0,123595.0,0.002768993377685547
10467101,7304353,109558.0,5982.0,115540.0,0.0028853416442871094
10467962,7338499,63904.0,3784.0,67688.0,0.002299785614013672
10467990,7288264,151306.0,9399.0,160705.0,0.0030968189239501953
10468942,8011576,72875.0,3845.0,76720.0,0.00273895263671875
10470166,7586694,103821.0,2991.0,106812.0,0.0024001598358154297
10469649,7253432,127563.0,6469.0,134032.0,0.0028374195098876953
10471146,7184686,117737.0,6043.0,123780.0,0.0029180049896240234
10469561,7273378,127563.0,5798.0,133361.0,0.002474546432495117
10470661,7377580,101867.0,6775.0,108642.0,0.0028581619262695312
10471621,7517447,127868.0,6409.0,134277.0,0.0027620792388916016
10472334,7282241,63843.0,2990.0,66833.0,0.002307891845703125
10471333,7275023,117554.0,6104.0,123658.0,0.0024962425231933594
10472607,7167254,109924.0,6592.0,116516.0,0.002912759780883789
10473989,7130680,78430.0,3662.0,82092.0,0.002222776412963867
10472892,7119860,75012.0,4822.0,79834.0,0.0022072792053222656
10473061,7121513,112670.0,2381.0,115051.0,0.0021064281463623047
10475109,7144105,36499.0,1159.0,37658.0,0.001764535903930664
10474836,7106579,32532.0,1160.0,33692.0,0.0017254352569580078
10476459,7122408,68969.0,2014.0,70983.0,0.00186920166015625
10476823,7115631,71900.0,1953.0,73853.0,0.0018568038940429688
10476860,7166305,72326.0,2197.0,74523.0,0.00183868408203125
10478130,7264325,76233.0,2014.0,78247.0,0.001817464828491211
10479116,7151564,67932.0,2014.0,69946.0,0.0017428398132324219
10476331,7122919,69030.0,1954.0,70984.0,0.0018453598022460938
10478735,7239891,72327.0,1953.0,74280.0,0.001783132553100586
10479300,7189683,69458.0,1953.0,71411.0,0.001809835433959961
10478689,7141247,73852.0,2075.0,75927.0,0.001852273941040039
10479655,7126205,34546.0,1099.0,35645.0,0.0017502307891845703
10480193,7129530,68298.0,2014.0,70312.0,0.0017957687377929688
10481244,7122315,67871.0,1892.0,69763.0,0.0019791126251220703
10483191,7104128,76721.0,2319.0,79040.0,0.0017888545989990234
10479981,7275254,69641.0,2075.0,71716.0,0.001819610595703125
10481519,7343116,75988.0,2137.0,78125.0,0.001851797103881836
10482654,7208367,71289.0,2014.0,73303.0,0.0017168521881103516
10483357,7135553,68726.0,1953.0,70679.0,0.0018613338470458984
10483173,7134544,72021.0,2014.0,74035.0,0.0018417835235595703
10485023,7109034,77148.0,2014.0,79162.0,0.0018618106842041016
10485596,7196412,71106.0,1831.0,72937.0,0.001825094223022461
10485378,7374841,31555.0,916.0,32471.0,0.0017235279083251953
10484464,7355710,66101.0,1770.0,67871.0,0.001806497573852539
10486370,7372122,78735.0,1648.0,80383.0,0.0018711090087890625
10485747,7381075,70312.0,1220.0,71532.0,0.001852273941040039
10487152,7377985,73059.0,1160.0,74219.0,0.0018763542175292969
10486979,7527468,69763.0,1221.0,70984.0,0.0018734931945800781
10486659,7499236,68299.0,1220.0,69519.0,0.0018393993377685547
10488328,7433105,73547.0,1160.0,74707.0,0.0018613338470458984
10488837,7506927,76049.0,1343.0,77392.0,0.0018775463104248047
10486840,7434927,69885.0,1160.0,71045.0,0.0018475055694580078
10489520,7901214,67993.0,1281.0,69274.0,0.0018541812896728516
10490145,9469483,67139.0,1221.0,68360.0,0.0018360614776611328
10490220,9288827,67566.0,1221.0,68787.0,0.0019252300262451172
10491340,8854705,70495.0,1159.0,71654.0,0.0018291473388671875
10492257,10924314,77026.0,1282.0,78308.0,0.0018620491027832031
10491986,9157176,75073.0,1221.0,76294.0,0.00188446044921875
10493635,8828374,68848.0,1282.0,70130.0,0.001867055892944336
10462970,10285108,73913.0,1342.0,75255.0,0.0019655227661132812
10466429,8787626,75195.0,1404.0,76599.0,0.0018663406372070312
10467508,9116826,64575.0,1221.0,65796.0,0.0018215179443359375
10467577,10845546,74890.0,1343.0,76233.0,0.0018618106842041016
10495140,9199347,38025.0,793.0,38818.0,0.0017976760864257812
