Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
910,169888738,103715146,4741989,14770,3252200,7245,4705080,203345,6541,16102,1059,248244,326638,39666,104793,2365365,5161204,30811757,47897623,34693461,3364963,6251280,2898840,3370231,13804,6238543,39274424,11301817,9595693,6070024,50577068,594690,3576462,251521,76128,347878,99812,8764,13723,6674,15184,17537,608462,3623299,266055,3377280,342152,97430,0,194222732,0,53113876,1311968,1108456.0,60669.0,1169125.0,0.04134368896484375
911,170363066,105599632,4791768,13582,3418004,11694,4219579,203856,7001,15655,936,250586,324619,40027,97827,3672301,5168696,30978848,47653920,34603373,3351384,6251600,2879784,3371750,13768,6238478,39421849,11326116,9602925,6228887,50729196,577540,3608095,252870,76642,353824,103034,5753,15661,7770,14350,17439,603503,3627629,256742,3427881,347438,98925,0,194651102,0,53230988,1307778,1142881.0,48828.0,1191709.0,0.04324531555175781
912,170640079,104971487,4601368,12307,3183998,7054,4788059,202073,16373,14601,663,254012,321927,43944,95897,2644398,5175550,30928911,48636417,34542627,3361432,6251789,2877668,3374104,14121,6237575,39586762,11349875,9610158,6397744,50916554,585006,3575637,252275,79764,346726,99780,6937,12194,6446,15046,9130,605936,3586404,261392,3421625,345310,96557,0,195079940,0,53348228,1306062,1170102.0,58350.0,1228452.0,0.04282045364379883
913,173113755,105418432,4871785,15600,3477179,8256,4866497,310019,7028,14758,934,242237,322837,44774,97194,2264469,5195644,31353066,46995736,35059511,3366077,6279640,2890949,3388213,14618,6305463,40604980,11380538,9645240,6224084,51985320,597876,3636931,255346,82288,350578,99510,8506,25567,10227,19590,12001,622565,3586513,294455,3476659,346374,96758,0,197181000,0,55242070,1320746,1133969.0,53405.0,1187374.0,0.0418705940246582
914,173651241,105445228,4917929,22880,3486931,7617,4899936,271463,6593,14951,1683,260554,326435,42379,97696,2383539,5177734,31446009,48689008,35124570,3373416,6295009,2923947,3401930,14085,6286826,40727483,11405252,9668443,6184610,52116413,598355,3620839,258201,76842,350814,110423,6273,15869,9501,15565,9829,611678,3637996,271660,3508582,349464,96703,0,197611748,0,55465484,1328614,1071104.0,43091.0,1114195.0,0.040183305740356445
915,174629096,106597557,4952414,14397,3465414,7364,5002584,237246,6820,15738,2525,254301,328730,40493,107856,2936553,5278824,31537030,48119201,35504278,3434390,6311358,2902463,3409209,14159,6296330,40837856,11431415,9691626,5273718,52266703,597544,3657706,251882,73288,349968,99469,6553,17643,9757,16751,9521,614321,3583165,273282,3491395,350528,98015,0,198042968,0,55689254,1336022,1589717.0,82946.0,1672663.0,0.05930304527282715
916,174740183,108115438,4973498,14718,3536614,14321,4424288,291207,6710,15191,1720,260433,325542,39360,100199,2604028,5213822,31760893,48537468,35417534,3394484,6326990,2910631,3416054,14658,6312044,40954540,11454983,9714666,6548040,52403835,594779,3602511,253009,79093,344486,100517,13027,20343,8320,18668,10112,606507,3671910,261295,3257728,347272,98389,0,198474660,0,55913380,1335910,1298886.0,75500.0,1374386.0,0.04787802696228027
917,175426721,106557495,4643626,14278,3371190,9180,4850542,207360,18285,14791,1169,248966,324191,41986,97574,1891300,5216987,31773974,49427057,35359609,3397593,6342463,2918988,3423371,15264,6328633,41068359,11479441,9738050,6035360,52529134,594049,3681688,259863,71432,348500,102295,6116,16409,14089,25117,13088,619115,3523048,272364,3479543,348700,96512,0,198906824,0,56137862,1335684,1534970.0,105956.0,1640926.0,0.05487394332885742
918,175926157,107915102,4898248,18140,3529864,8572,4929172,240438,7093,15003,956,239533,325181,41238,97953,2781004,5195946,31801959,48995137,35674848,3404787,6358647,2928064,3430746,14924,6344392,41157641,11506862,9761162,6045355,52684485,594116,3747931,254665,68854,346416,103289,6175,13271,8309,17810,10306,609698,3714349,270460,3553882,346350,96709,0,199339460,0,56362700,1311788,1426143.0,94849.0,1520992.0,0.05226731300354004
919,176308677,107761397,4763037,43165,3436031,8148,4719170,279714,6657,16164,1141,252608,324241,41572,98316,2593107,5163215,31882533,48459497,35596431,3427606,6374077,2935978,3438106,14816,6358638,41298117,11528852,9784403,6391743,52824558,592092,3753840,256066,71812,352008,99842,14343,24309,8800,29629,12575,609926,3703264,273684,3442780,347358,96318,0,199772568,0,56587894,1280425,1224729.0,74157.0,1298886.0,0.0451967716217041
