Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
626,76389692,45834582,1673759,11895,1417268,11197,1723418,276071,2181,7271,474,122701,195472,19531,69525,1445435,1032813,13896869,21528735,15893129,1610056,2949559,1362109,1608533,7547,2957171,17195741,5320844,4546121,3074164,22517268,323863,1365950,118834,29705,226182,68626,828,9085,6460,12965,10114,335779,1538180,127894,1475163,226412,69277,0,64440816,0,19527290,472440,561766.0,13245.0,575011.0,0.020791292190551758
627,76579054,45747258,1467535,9154,1382342,5959,1733149,269441,2321,7336,971,121350,198217,21790,69411,1216477,1022557,13918748,21206838,15974263,1613807,2957815,1360289,1607571,7714,2951141,17189725,5337464,4543734,2787122,22558062,324087,1412364,123640,28782,223996,70086,852,16903,6574,16093,11996,330955,1542842,127830,1448325,222116,70396,0,64645186,0,19540345,475982,648131.0,35157.0,683288.0,0.023236751556396484
628,76742762,46284772,1621607,8312,1395855,5799,1749029,365645,2159,7189,677,115498,197390,19912,68063,929943,1060412,13901982,20633899,15946159,1593855,2971096,1357944,1612093,7442,2955949,17180724,5363765,4556124,3231493,22561886,313682,1409089,120231,30950,222948,70478,814,23543,9105,10117,11751,346235,1489402,132582,1389553,225396,69610,0,64849884,0,19553344,478087,703489.0,40893.0,744382.0,0.024889707565307617
629,76850701,45863460,1495373,8524,1477242,5625,1711363,301231,2966,7821,595,104292,199906,20458,69942,1079491,1181451,13879286,20668211,15987808,1597753,2969792,1355373,1618189,7157,2962807,17182802,5381642,4567494,3876997,22578868,310241,1380535,118330,28715,226692,71732,876,18487,8956,9723,9675,340591,1469525,130938,1407690,225174,70752,0,65054910,0,19566287,477326,709348.0,41870.0,751218.0,0.02421712875366211
630,76964687,46213692,1693427,8292,1458138,6249,1720909,291087,2473,7889,466,106596,200248,19393,70083,1061959,1140949,13881751,20519681,15988627,1603146,2976594,1355832,1621232,6996,2969696,17173107,5394214,4579303,3502320,22558134,315988,1437214,113367,28466,227768,72308,2636,10097,7766,11588,8159,333373,1434657,126173,1334885,227430,70279,0,65260264,0,19579174,477458,677488.0,38452.0,715940.0,0.023633956909179688
631,77010674,46163249,1698279,7934,1472024,16750,1547566,297754,2015,7390,630,114694,200969,18506,69761,1024858,1094177,13907815,20787888,16127043,1607848,2983789,1357993,1627004,7170,2997681,17160969,5408240,4591457,3039829,22555199,310192,1442330,115503,27573,232428,71896,2131,9548,6810,10275,7295,329110,1391223,119616,1449346,230336,70021,0,65465946,0,19592005,464277,579466.0,20447.0,599913.0,0.020642518997192383
632,77131715,46461209,1689477,7508,1463705,10991,1530344,242499,2778,7353,502,113085,198975,18252,70686,976587,1014625,13934870,20878386,16147546,1613500,2990203,1363317,1630449,7175,3002113,17141521,5421022,4688767,2916870,22562246,318944,1443607,99641,26459,230676,71677,1740,7960,6073,9702,8287,334236,1507108,119839,1437142,230296,70456,0,65671956,0,19604780,465651,538389.0,14587.0,552976.0,0.02060723304748535
633,76156875,45446350,1673770,7899,1484965,12162,1496672,245161,2802,7733,474,97620,199280,17569,70425,1009759,1017279,13776040,20488669,15941834,1679020,2989440,1357378,1642657,6909,2996966,16587873,5438336,4630329,2544528,22024830,303167,1362055,87935,23488,230174,71909,839,6436,5786,14823,6902,314677,1523013,97580,1452461,230052,71269,0,66676378,0,18828358,478422,536803.0,10742.0,547545.0,0.02056288719177246
634,76282132,45635774,1651504,9853,1424890,8764,1679224,231818,2624,8238,462,96365,200154,16334,70572,1176731,1007179,13803560,21154969,15907392,1710324,2996243,1359254,1647525,6886,2990089,16576335,5453679,4770139,2607241,22033405,302417,1346607,84446,25352,232916,72026,1505,7231,5651,15273,7050,310957,1501745,105003,1446188,229168,70921,0,66885500,0,18835940,477299,557676.0,11535.0,569211.0,0.020603418350219727
635,76493391,45701712,1683628,10368,1435095,7978,1699627,346071,2242,8502,567,95477,199956,17676,70399,926508,976225,13938544,21472310,15979420,1650869,3002603,1369777,1649251,6889,2998198,16562830,5470523,4639893,2603846,22034883,300082,1313557,95316,24029,234334,70848,1161,8848,5449,15802,8834,311221,1474867,101483,1406249,233078,72124,0,67094954,0,18843454,472739,665525.0,31921.0,697446.0,0.024058818817138672
